IBIS ID,OPEN DATA ID,CITY,STOP NAME,
IOV3802,2600038,Ilmenau, Ziolkowskischule,
IOV38101,2700484,Kettmannshausen,,
IOV38201,2700424,Wipfra,,
IOV38202,2700424,Wipfra,,
IOV38203,2700424,Wipfra,,
IOV38204,2700424,Wipfra,,
IOV38301,2700422,Schmerfeld,,
IOV38302,2700422,Schmerfeld,,
IOV38303,2700422,Schmerfeld,,
IOV38401,2700420,Reinsfeld,,
IOV38402,2700420,Reinsfeld,,
IOV38501,2700444,Roda (Wipfratal),,
IOV38502,2700444,Roda (Wipfratal),,
IOV38503,2700444,Roda (Wipfratal),,
IOV38601,2700442,G�rbitzhausen,,
IOV38602,2700442,G�rbitzhausen,,
IOV38701,2700414,Branchewinda,,
IOV38702,2700414,Branchewinda,,
IOV38704,2700414,Branchewinda,,
IOV38705,2700414,Branchewinda,,
IOV38801,2700412,Dannheim,,
IOV38802,2700412,Dannheim,,
IOV38803,2700412,Dannheim,,
IOV38804,2700412,Dannheim,,
IOV38901,2700410,Arnstadt, Abzweig Oberndorf,
IOV38902,2700410,Arnstadt, Abzweig Oberndorf,
IOV39001,2700047,Arnstadt, Gehrener Stra�e,
IOV39002,2700047,Arnstadt, Gehrener Stra�e,
IOV3901,2600039,Ilmenau, Ziolkowskistra�e,
IOV3902,2600039,Ilmenau, Ziolkowskistra�e,
IOV39101,2700072,Arnstadt, S�dbahnhof,
IOV39102,2700072,Arnstadt, S�dbahnhof,
IOV39201,2700031,Arnstadt, Diesterwegstra�e,
IOV39202,2700031,Arnstadt, Diesterwegstra�e,
IOV39305,167049,Gotha, ZOB,
IOV39401,167205,Gotha, Hauptbahnhof,
IOV39502,167028,Gotha, Friedensteinkaserne,
IOV39602,167052,G�nthersleben,,
IOV39701,167203,G�nthersleben, Sicklerstra�e,
IOV39802,167078,Wechmar, Gewerbegebiet,
IOV39901,167077,Wechmar,,
IOV40002,167107,Wandersleben, Grundschule,
IOV4001,2600040,Ilmenau, Kopernikusstra�e,
IOV4002,2600040,Ilmenau, Kopernikusstra�e,
IOV401,2600004,Ilmenau, Wetzlarer Platz,
IOV40102,167368,Wandersleben, Gewerbegebiet,
IOV402,2600004,Ilmenau, Wetzlarer Platz,
IOV40202,167017,Freudenthal,,
IOV403,2600004,Ilmenau, Wetzlarer Platz,
